frame,probability,key,xmin,ymin,xmax,ymax
005tri_2p5_0,90.68,circle-0.5mm,96,144,400,448
008tri_2p5_0,65.66,circle-1.5mm,80,144,400,432
011tri_2p5_0,53.43,line-2.5mm,-16,288,256,592
011tri_2p5_1,78.43,line-1.5mm,128,96,384,272
011tri_2p5_1,52.95,circle-1.5mm,32,96,256,448
017tri_2p5_1,69.94,line-2.5mm,64,144,368,448
018tri_2p5_0,55.65,line-2.5mm,96,144,384,448
019tri_2p5_0,88.09,line-2.5mm,48,96,352,400
019tri_2p5_0,70.59,circle-1.5mm,48,80,352,384
019tri_2p5_1,99.35,line-2.5mm,64,176,368,480
020tri_2p5_0,50.36,line-2.5mm,48,224,352,528
020tri_2p5_1,56.41,circle-1.5mm,64,32,368,320
021tri_2p5_0,82.24,circle-1.5mm,80,240,384,544
021tri_2p5_0,98.96,line-2.5mm,80,240,384,544
021tri_2p5_1,87.36,circle-1.5mm,64,80,368,368
021tri_2p5_1,75.03,line-2.5mm,64,80,368,384
022tri_2p5_0,88.42,line-2.5mm,64,160,352,464
022tri_2p5_1,82.93,line-2.5mm,80,32,384,336
022tri_2p5_1,79.5,circle-1.5mm,96,32,384,320
023tri_2p5_0,83.53,line-2.5mm,16,208,336,512
023tri_2p5_0,53.16,circle-2.5mm,16,224,320,512
023tri_2p5_1,92.52,line-2.5mm,64,144,368,448
024tri_2p5_0,99.79,line-2.5mm,80,224,368,528
024tri_2p5_0,68.52,circle-2.5mm,80,240,384,528
024tri_2p5_1,99.93,line-2.5mm,48,224,352,528
025tri_2p5_0,99.73,line-2.5mm,80,64,400,368
025tri_2p5_1,99.8,line-2.5mm,80,144,384,448
026tri_2p5_0,99.94,line-2.5mm,64,32,368,336
026tri_2p5_1,99.99,line-2.5mm,48,128,352,432
027tri_2p5_0,99.91,line-2.5mm,32,256,336,560
027tri_2p5_1,99.88,line-2.5mm,80,144,384,448
028tri_2p5_0,99.61,line-2.5mm,48,288,352,592
028tri_2p5_1,99.04,line-2.5mm,64,256,368,560
029tri_2p5_0,99.85,line-2.5mm,80,144,384,448
029tri_2p5_1,99.93,line-2.5mm,80,192,384,496
030tri_2p5_0,99.89,line-2.5mm,80,224,384,528
030tri_2p5_1,99.46,line-2.5mm,32,272,336,576
031tri_2p5_0,99.92,line-2.5mm,32,144,336,448
031tri_2p5_1,99.96,line-2.5mm,80,176,384,480
032tri_2p5_0,99.95,line-2.5mm,48,192,352,496
032tri_2p5_1,99.86,line-2.5mm,64,256,368,560
033tri_2p5_0,99.99,line-2.5mm,32,208,336,512
033tri_2p5_1,99.99,line-2.5mm,32,160,336,464
034tri_2p5_0,99.98,line-2.5mm,48,112,352,416
034tri_2p5_1,99.78,line-2.5mm,80,112,384,416
035tri_2p5_0,100.0,line-2.5mm,64,64,368,368
035tri_2p5_1,99.99,line-2.5mm,64,272,368,576
036tri_2p5_0,100.0,line-2.5mm,48,48,352,352
036tri_2p5_1,100.0,line-2.5mm,80,128,384,432
037tri_2p5_0,100.0,line-2.5mm,80,80,384,384
037tri_2p5_1,100.0,line-2.5mm,32,112,336,416
038tri_2p5_0,100.0,line-2.5mm,32,224,336,528
038tri_2p5_1,100.0,line-2.5mm,48,208,352,512
039tri_2p5_0,100.0,line-2.5mm,32,240,336,544
039tri_2p5_1,100.0,line-2.5mm,80,208,384,512
040tri_2p5_0,100.0,line-2.5mm,48,48,352,352
