mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
13.91,0.581,1.301,0.041,1.491,0.475,2.007,1.866,0
13.05,0.614,0.13,0.017,1.265,0.467,1.75,1.445,0
12.545,0.635,0.122,0.02,1.122,0.416,1.558,1.49,0
12.49,0.654,0.101,0.019,1.009,0.36,1.388,1.456,0
12,0.685,0.106,0.018,0.91,0.305,1.233,1.453,0
10.41,0.702,0.161,0.017,0.828,0.262,1.107,1.434,0
10.56,0.723,0.178,0.015,0.824,0.23,1.069,1.438,0
10.935,0.701,0.134,0.013,0.828,0.215,1.056,1.447,0
10.535,0.723,0.144,0.011,0.778,0.198,0.987,1.443,0
10.55,0.719,0.151,0.01,0.784,0.179,0.973,1.463,0
10.205,0.752,0.137,0.01,0.708,0.153,0.871,1.469,0
9.75,0.752,0.152,0.009,0.706,0.152,0.868,1.456,0
10.695,0.736,0.118,0.009,0.721,0.14,0.87,1.466,0
10.505,0.73,0.138,0.009,0.711,0.136,0.856,1.468,0
10.815,0.746,0.167,0.008,0.701,0.124,0.833,1.471,0
10.36,0.745,0.166,0.009,0.699,0.137,0.844,1.482,0
10.27,0.776,0.11,0.008,0.647,0.13,0.785,1.473,0
11,0.758,0.154,0.008,0.68,0.126,0.814,1.499,0
11.08,0.757,0.151,0.008,0.656,0.121,0.785,1.514,0
11.375,0.772,0.133,0.008,0.635,0.123,0.766,1.557,0
11.295,0.773,0.142,0.009,0.655,0.125,0.789,1.568,0
11.77,0.758,0.177,0.008,0.669,0.115,0.793,1.563,0
12.065,0.757,0.116,0.008,0.68,0.127,0.815,1.566,0
11.605,0.76,0.17,0.008,0.657,0.116,0.782,1.482,0
11.635,0.767,0.202,0.009,0.636,0.122,0.767,1.437,0
12.01,0.747,0.147,0.008,0.692,0.112,0.812,1.429,0
12.12,0.771,0.163,0.008,0.651,0.111,0.77,1.432,0
12.35,0.755,0.088,0.008,0.683,0.112,0.803,1.44,0
13.035,0.765,0.179,0.007,0.646,0.11,0.764,1.446,0
12.27,0.758,0.169,0.008,0.662,0.123,0.794,1.449,0
12.455,0.767,0.176,0.009,0.631,0.114,0.753,1.443,0
